address,average_length_suspension,average_length_suspension_1,average_length_suspension_2,behavior_discipline_year,behavior_discipline_year_1,blue_ribbon_award_year,chronic_truancy_pct,city,college_enrollment_cps_pct,college_enrollment_cps_pct_1,college_enrollment_school,college_enrollment_school_1,college_persistence_cps_pct,college_persistence_cps_pct_1,college_persistence_school,college_persistence_school_1,cps_school_profile,creative_school_certification,creative_school_certification_1,culture_climate_description,culture_climate_rating,empty_progress_report_message,excelerate_award_gold_year,excellence_award_year,fax,freshmen_on_track_cps_pct,freshmen_on_track_cps_pct_1,freshmen_on_track_school,freshmen_on_track_school_1,graduation_4_year_cps_pct,graduation_4_year_cps_pct_1,graduation_4_year_school,graduation_4_year_school_1,graduation_5_year_cps_pct,graduation_5_year_cps_pct_1,graduation_5_year_school,graduation_5_year_school_1,healthy_school_certification,healthy_school_certification_1,improvement_award_year,location,long_name,misconducts_to_suspensions,misconducts_to_suspensions_1,misconducts_to_suspensions_2,mobility_rate_pct,one_year_dropout_rate_avg,one_year_dropout_rate_year,one_year_dropout_rate_year_1,other_metrics_year_1,other_metrics_year_2,parent_survey_results_year,phone,primary_category,progress_report_year,progress_toward_graduation,progress_toward_graduation_1,sat_grade_11_score_cps_avg,sat_grade_11_score_school,school_id,school_latitude,school_longitude,school_survey_ambitious,school_survey_collaborative,school_survey_effective,school_survey_involved,school_survey_safety,school_survey_student_response,school_survey_student_response_1,school_survey_supportive,school_survey_teacher_response,school_survey_teacher_response_1,school_type,short_name,spot_light_award_year,state,state_school_report_card,student_attainment_description,student_attainment_rating,student_attendance_avg_pct,student_attendance_year_1,student_attendance_year_2,student_growth_description,student_growth_rating,supportive_school_award,supportive_school_award_desc,suspensions_per_100_students,suspensions_per_100_students_1,suspensions_per_100_students_2,teacher_attendance_avg_pct,teacher_attendance_year_1,teacher_attendance_year_2,website,zip
4942 W 44TH ST,,,2.0 days,2022,2023,,27.8,Chicago,,,,,,,,,{'url': 'https://www.cps.edu/schools/schoolprofiles/400009'},EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Organized,,,,7735821101,,,,,,,,,,,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,2013,"{'type': 'Point', 'coordinates': [-87.740097, 41.807579]}",Academy for Global Citizenship Charter School,,,10.8,,,,,2022,2023,2023,7735821100,ES,2024,2022,2023,933,0,400009,41.807579,-87.740097,Neutral,Neutral,Strong,Strong,NEUTRAL,99.6,78.6,Neutral,57.9,71.6,Charter,GLOBAL CITIZENSHIP,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=15016299025229C'},Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,NO DATA AVAILABLE,88.3,90,92.3,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,,,4.2,94,,,{'url': 'https://agcchicago.org'},60638
3141 W JACKSON BLVD,,,2.0 days,2022,2023,,39.5,Chicago,,,,,,,,,{'url': 'https://www.cps.edu/schools/schoolprofiles/400011'},EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Not Enough Data,,,,7732657258,,,,,,,,,,,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.705235, 41.877248]}",Alain Locke Charter School,,,10.8,4,,,,2022,2023,2023,7732657232,ES,2024,2022,2023,933,0,400011,41.877248,-87.705235,,,,,NOT ENOUGH DATA,1.8,78.6,,0,71.6,Charter,LOCKE A,2013,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=15016299025206C'},Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,NO DATA AVAILABLE,88.3,88.2,90.1,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,,,4.2,94,,,{'url': 'https://www.alainlocke.org'},60612
3986 W BARRY AVE,,,2.0 days,2022,2023,,49.7,Chicago,65.2,61.8,41.6,40,73.4,71.2,70,64,{'url': 'https://www.cps.edu/schools/schoolprofiles/400013'},STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Well Organized,,,,7732673568,88.7,88.8,84.5,81.5,84,82.9,73.1,87.7,85.6,84,91.4,88.1,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.727096, 41.937298]}",ASPIRA Charter School - Early College High School,,,10.8,22.9,5.3,6.5,6.9,2022,2023,2023,7732431626,HS,2024,2022,2023,933,855,400013,41.937298,-87.727096,Neutral,Strong,Strong,Strong,WEAK,92,78.6,Neutral,85.2,71.6,Charter,ASPIRA - EARLY COLLEGE HS,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=15016299025074C'},"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",FAR BELOW EXPECTATIONS,88.3,84.5,86.2,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,,,4.2,94,,,{'url': 'https://aec.aspirail.org'},60618
3729 W LELAND AVE,,,2.0 days,2022,2023,,37,Chicago,,,,,,,,,{'url': 'https://www.cps.edu/schools/schoolprofiles/400017'},STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Organized,,,,7732673568,,,,,,,,,,,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.721825, 41.966406]}",ASPIRA Charter School - Haugan Middle School,,,10.8,18.6,,,,2022,2023,2023,7733033549,MS,2024,2022,2023,933,0,400017,41.966406,-87.721825,Strong,Neutral,Neutral,,WEAK,98,78.6,Neutral,81.8,71.6,Charter,ASPIRA - HAUGAN,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=15016299025110C'},Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,NO DATA AVAILABLE,88.3,89.4,91.8,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,,,4.2,94,,,{'url': 'https://haugan.aspirail.org'},60625
5608 W WASHINGTON BLVD,,,2.0 days,2022,2023,,28.5,Chicago,,,,,,,,,{'url': 'https://www.cps.edu/schools/schoolprofiles/400021'},DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Well Organized,,,,3126262345,,,,,,,,,,,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.765322, 41.882322]}",Catalyst Elementary Charter School - Circle Rock,,,10.8,2.5,,,,2022,2023,2023,7739455025,ES,2024,2022,2023,933,0,400021,41.882322,-87.765322,Strong,Strong,Strong,Strong,WEAK,96.2,78.6,Strong,98.2,71.6,Charter,CATALYST - CIRCLE ROCK,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=15016299025228C'},Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,NO DATA AVAILABLE,88.3,88.8,91.8,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,NO DATA AVAILABLE,ESTABLISHED,"This school has put in place systems and structures to support social and emotional learning (SEL). This may include SEL action plans, ongoing training for teachers and staff, partnerships with community organizations, time for SEL in the master schedule, and/or targeted and intensive SEL services.",,,4.2,94,,,{'url': 'https://catalystschools.org/circle-rock'},60644
2714 W AUGUSTA BLVD,1.5 days,,2.0 days,2022,2023,,37.9,Chicago,65.2,61.8,80.5,74.4,73.4,71.2,84.9,79.4,{'url': 'https://www.cps.edu/schools/schoolprofiles/400022'},EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Partially Organized,,,,7735344022,88.7,88.8,92.7,95.8,84,82.9,88.2,84.5,85.6,84,85.6,87.2,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,2013,"{'type': 'Point', 'coordinates': [-87.694945, 41.899377]}",Chicago High School for the Arts (ChiArts),66.7,,10.8,3.1,5.3,3.4,2.6,2022,2023,2023,7735349710,HS,2024,2022,2023,933,950,400022,41.899377,-87.694945,Strong,Weak,Weak,Neutral,NOT ENOUGH DATA,64.8,78.6,Neutral,52.3,71.6,Contract,CHIARTS HS,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=150162990250851'},"Student Attainment measures how well the school performed on standardized tests at a single point in time. This school's score is based on attainment relative to the combined College Readiness Benchmark scores, set by College Board. To learn more, visit  https://collegereadiness.collegeboard.org .",BELOW EXPECTATIONS,88.3,95.3,90.6,Student Growth measures the change in standardized test scores between two points in time compared other CPS school and schools nationwide. The score is based on an average of the available PSAT and SAT growth measures listed below.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,2.6,,4.2,94,,,{'url': 'https://chiarts.org'},60622
1501 E 83RD PL,,,2.0 days,2022,2023,,35.3,Chicago,,,,,,,,,{'url': 'https://www.cps.edu/schools/schoolprofiles/400023'},STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Partially Organized,,,,7737310142,,,,,,,,,,,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.587928, 41.743179]}",CICS - Avalon/South Shore,,,10.8,11.6,,,,2022,2023,2023,7737210858,ES,2024,2022,2023,933,0,400023,41.743179,-87.587928,Strong,Neutral,Neutral,Weak,VERY WEAK,97.6,78.6,Weak,72.2,71.6,Charter,CICS - AVALON/SOUTH SHORE,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=15016299025252C'},Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,NO DATA AVAILABLE,88.3,90,91.1,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,,,4.2,94,,,{'url': 'https://www.regenerationschools.org/cics-avalon'},60619
1816 W GARFIELD BLVD,,,2.0 days,2022,2023,,40,Chicago,,,,,,,,,{'url': 'https://www.cps.edu/schools/schoolprofiles/400024'},STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Organized,,,,7733041495,,,,,,,,,,,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.670243, 41.794043]}",CICS - Basil,,,10.8,19.5,,,,2022,2023,2023,7737789455,ES,2024,2022,2023,933,0,400024,41.794043,-87.670243,Strong,Strong,Neutral,Neutral,WEAK,98,78.6,Weak,90.3,71.6,Charter,CICS - BASIL,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=15016299025277C'},Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,NO DATA AVAILABLE,88.3,87.4,89.3,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,,,4.2,94,,,{'url': 'http://www.regenerationschools.org/cics-basil/'},60609
2235 N HAMILTON AVE,,,2.0 days,2022,2023,,39.8,Chicago,,,,,,,,,{'url': 'https://www.cps.edu/schools/schoolprofiles/400025'},STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Organized,,,,7736453327,,,,,,,,,,,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.681358, 41.922415]}",CICS - Bucktown,,,10.8,6.5,,,,2022,2023,2023,7736453321,ES,2024,2022,2023,933,0,400025,41.922415,-87.681358,Neutral,Strong,Strong,Strong,WEAK,99,78.6,Weak,91.1,71.6,Charter,CICS - BUCKTOWN,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=15016299025246C'},Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,NO DATA AVAILABLE,88.3,89,89.8,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,,,4.2,94,,,{'url': 'https://www.cicsbucktown.org'},60647
9535 S LOOMIS ST,,,2.0 days,2022,2023,,44.3,Chicago,,,,,,,,,{'url': 'https://www.cps.edu/schools/schoolprofiles/400026'},DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  http://www.cpsarts.org/ .","Results are based on student and teacher responses to the My Voice, My School 5Essentials survey. For more information on this survey and other measures of school culture and climate visit  https://www.5-essentials.org/ .",Partially Organized,,,,7734298441,,,,,,,,,,,,,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn 90% of all criteria to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,,"{'type': 'Point', 'coordinates': [-87.657561, 41.720246]}",CICS - Loomis Primary,,,10.8,11.1,,,,2022,2023,2023,7734298955,ES,2024,2022,2023,933,0,400026,41.720246,-87.657561,,Weak,Strong,Weak,NOT ENOUGH DATA,0,78.6,,96.2,71.6,Charter,CICS - LOOMIS,,Illinois,{'url': 'http://iirc.niu.edu/School.aspx?schoolid=15016299025255C'},Student Attainment measures how well the school performed on standardized tests at a single point in time. This school’s scores are compared to national average scores. A 50th percentile score means the school is performing at the same level as the national average school.,NO DATA AVAILABLE,88.3,84.1,89.5,Student Growth measures the change in standardized test scores between two points in time. This growth is compared to the average national growth for schools that started in the same place. A 50th percentile score means the school grew at the same rate as the national average.,NO DATA AVAILABLE,NOT RATED,This school has not submitted an action plan to support school climate and social & emotional learning (SEL).,,,4.2,94,,,{'url': 'https://www.cicsloomislongwood.org'},60643
